Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,mintemp,maxtemp,avgtemp
2015-06-17,957.5,972.0,957.5,967.0,11.5,969.0,135639.0,186446.0,65.79454926624737,85.24947589098532,74.8909853249476
2015-06-16,939.0,959.0,938.75,956.5,19.75,957.5,129321.0,202038.0,65.23689727463312,84.85953878406708,74.67085953878407
2015-06-15,940.0,943.75,930.25,936.5,2.25,937.75,111951.0,208871.0,66.15690376569037,85.81380753138075,75.52510460251047
2015-06-12,939.0,947.0,933.25,939.75,2.25,940.0,113082.0,230230.0,65.65553235908142,85.48016701461378,75.06889352818372
2015-06-11,947.25,953.0,938.0,940.5,9.5,940.0,129178.0,245167.0,64.75732217573221,85.14435146443515,74.80334728033473
2015-06-10,951.5,957.75,944.5,950.0,2.0,949.5,151167.0,267725.0,63.707724425887264,86.24217118997912,74.83507306889352
2015-06-09,946.0,955.0,943.25,950.5,7.25,951.5,133731.0,289148.0,63.87029288702929,87.42468619246861,74.99163179916317
2015-06-08,938.25,951.0,935.25,944.0,6.5,944.25,109019.0,302209.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-06-05,944.5,952.0,935.25,939.75,8.75,937.75,127758.0,320936.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-06-04,934.75,948.75,932.0,945.0,11.25,946.5,114961.0,331033.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-06-03,941.5,945.5,931.5,934.0,5.5,935.25,128209.0,342786.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-06-02,926.0,944.5,925.25,941.0,14.75,940.75,117849.0,350193.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-06-01,931.0,935.0,921.5,926.0,8.0,926.0,114036.0,351808.0,63.93319415448852,85.68684759916492,74.61795407098121
2015-05-29,926.0,937.5,924.75,934.5,8.0,934.0,112302.0,349786.0,60.0335429769392,80.11949685534591,69.81551362683439
2015-05-28,927.0,934.25,922.0,926.25,1.0,926.0,107786.0,350183.0,61.65199161425576,82.69811320754717,71.35849056603773
2015-05-27,922.0,931.75,922.0,925.0,4.5,927.0,106502.0,348360.0,61.82180293501048,82.84486373165619,71.55974842767296
2015-05-26,923.75,930.5,920.5,921.75,1.75,922.5,106157.0,354097.0,61.41004184100419,81.60041841004184,70.72384937238493
2015-05-22,938.0,942.5,922.75,926.5,14.25,924.25,115004.0,352191.0,49.18029350104822,74.24528301886792,61.83647798742138
2015-05-21,941.25,946.5,936.5,936.5,2.75,938.5,90411.0,351502.0,51.21174004192872,71.70440251572327,61.507337526205454
